Date,Year,Year,MonthName,DayOfMonth,DayOfWeekName,QuarterInCalendar.1
30-03-2017,2017,2017,March,30,Thursday,Q1
31-03-2017,2017,2017,March,31,Friday,Q1
01-01-2018,2018,2018,January,1,Monday,Q1
02-01-2018,2018,2018,January,2,Tuesday,Q1
03-01-2018,2018,2018,January,3,Wednesday,Q1
04-01-2018,2018,2018,January,4,Thursday,Q1
05-01-2018,2018,2018,January,5,Friday,Q1
06-01-2018,2018,2018,January,6,Saturday,Q1
07-01-2018,2018,2018,January,7,Sunday,Q1
08-01-2018,2018,2018,January,8,Monday,Q1
09-01-2018,2018,2018,January,9,Tuesday,Q1
10-01-2018,2018,2018,January,10,Wednesday,Q1
11-01-2018,2018,2018,January,11,Thursday,Q1
12-01-2018,2018,2018,January,12,Friday,Q1
13-01-2018,2018,2018,January,13,Saturday,Q1
14-01-2018,2018,2018,January,14,Sunday,Q1
15-01-2018,2018,2018,January,15,Monday,Q1
16-01-2018,2018,2018,January,16,Tuesday,Q1
17-01-2018,2018,2018,January,17,Wednesday,Q1
18-01-2018,2018,2018,January,18,Thursday,Q1
19-01-2018,2018,2018,January,19,Friday,Q1
20-01-2018,2018,2018,January,20,Saturday,Q1
21-01-2018,2018,2018,January,21,Sunday,Q1
22-01-2018,2018,2018,January,22,Monday,Q1
23-01-2018,2018,2018,January,23,Tuesday,Q1
24-01-2018,2018,2018,January,24,Wednesday,Q1
25-01-2018,2018,2018,January,25,Thursday,Q1
26-01-2018,2018,2018,January,26,Friday,Q1
27-01-2018,2018,2018,January,27,Saturday,Q1
28-01-2018,2018,2018,January,28,Sunday,Q1
29-01-2018,2018,2018,January,29,Monday,Q1
30-01-2018,2018,2018,January,30,Tuesday,Q1
31-01-2018,2018,2018,January,31,Wednesday,Q1
01-02-2018,2018,2018,February,1,Thursday,Q1
02-02-2018,2018,2018,February,2,Friday,Q1
03-02-2018,2018,2018,February,3,Saturday,Q1
04-02-2018,2018,2018,February,4,Sunday,Q1
05-02-2018,2018,2018,February,5,Monday,Q1
06-02-2018,2018,2018,February,6,Tuesday,Q1
07-02-2018,2018,2018,February,7,Wednesday,Q1
08-02-2018,2018,2018,February,8,Thursday,Q1
09-02-2018,2018,2018,February,9,Friday,Q1
10-02-2018,2018,2018,February,10,Saturday,Q1
11-02-2018,2018,2018,February,11,Sunday,Q1
12-02-2018,2018,2018,February,12,Monday,Q1
13-02-2018,2018,2018,February,13,Tuesday,Q1
14-02-2018,2018,2018,February,14,Wednesday,Q1
15-02-2018,2018,2018,February,15,Thursday,Q1
16-02-2018,2018,2018,February,16,Friday,Q1
17-02-2018,2018,2018,February,17,Saturday,Q1
18-02-2018,2018,2018,February,18,Sunday,Q1
19-02-2018,2018,2018,February,19,Monday,Q1
20-02-2018,2018,2018,February,20,Tuesday,Q1
